path	disposition	provider	rationale	inventory_origins
GeneralsMD/Code/GameEngine/Include/Common/DisabledTypes.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/DiscreteCircle.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/DrawModule.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/DynamicAudioEventInfo.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Energy.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Errors.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/FileSystem.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/FunctionLexicon.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameAudio.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameCommon.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameEngine.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameLOD.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameMemory.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameMusic.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameSounds.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameSpeech.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameSpyMiscPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameState.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameStateMap.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GameType.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Geometry.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/GlobalData.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Handicap.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/INI.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/INIException.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/IgnorePreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/KindOf.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/LadderPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Language.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/LatchRestore.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/List.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/LocalFile.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/LocalFileSystem.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MapObject.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_EXCLUDED_SOURCE_RECORDS,ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MapReaderWriterInfo.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MessageStream.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MiniLog.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MiscAudio.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MissionStats.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ModelState.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Module.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ModuleFactory.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Money.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/MultiplayerSettings.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/NameKeyGenerator.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/OSDisplay.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ObjectStatusTypes.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Overridable.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Override.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/PartitionSolver.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/PerfMetrics.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/PerfTimer.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Player.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/PlayerList.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/PlayerTemplate.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ProductionPrerequisite.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/QuickTrig.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/QuickmatchPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/QuotedPrintable.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/RAMFile.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Radar.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/RandomValue.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Recorder.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Registry.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ResourceGatheringManager.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/STLTypedefs.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Science.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ScoreKeeper.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SkirmishBattleHonors.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SkirmishPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Snapshot.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SparseMatchFinder.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SpecialPower.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SpecialPowerMaskType.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SpecialPowerType.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/StackDump.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/StateMachine.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/StatsCollector.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/StreamingArchiveFile.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SubsystemInterface.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/SystemInfo.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Team.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Terrain.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/TerrainTypes.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Thing.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ThingFactory.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ThingSort.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/ThingTemplate.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/TunnelTracker.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/UnicodeString.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/UnitTimings.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Upgrade.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/UserPreferences.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/WellKnownKeys.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/Xfer.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/XferCRC.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/XferDeepCRC.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/XferLoad.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/XferSave.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/crc.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/encrypt.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/file.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/string.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/Common/version.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/Anim2D.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/AnimateWindowManager.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/CDCheck.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/CampaignManager.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/ChallengeGenerals.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/ClientRandomValue.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/Color.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/CommandXlat.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/ControlBarResizer.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/ControlBarScheme.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/Credits.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
GeneralsMD/Code/GameEngine/Include/GameClient/DebugDisplay.h	excluded	M20-M25	original engine consumers are promoted by the owning source-integration milestone	ZH_LEGACY_ZH_GAME_ENGINE_SOURCES
